dt,age_cd,sex_cd,home_sido_nm,h0d0h0_dur_r,h0d0h1_dur_r,h0d1h0_dur_r,h0d1h1_dur_r,h1d0h0_dur_r,h1d0h1_dur_r,h1d1h0_dur_r,h1d1h1_dur_r
20200907,\N,\N,인천광역시,0.140237961,0.859057106,0.40826261,0.591032457,0.151649437,0.848139172,0.282500484,0.717288125
20200907,\N,\N,울산광역시,0.163990955,0.833596953,0.407074292,0.590513615,0.171958833,0.827315035,0.321300864,0.677970918
20200907,\N,\N,세종특별자치시,0.183020411,0.806584767,0.442903396,0.546701782,0.197417879,0.79868972,0.330807612,0.665299987
20200907,\N,\N,서울특별시,0.122476631,0.877423657,0.386795013,0.613105275,0.13676885,0.863178065,0.257713675,0.74223324
20200907,\N,\N,부산광역시,0.148359308,0.851157694,0.395478376,0.604038625,0.157716173,0.842065957,0.298382703,0.701399427
20200907,\N,\N,대전광역시,0.138382414,0.859452627,0.405521479,0.592313562,0.156741145,0.842567349,0.298961244,0.700345367
20200907,\N,\N,대구광역시,0.135192184,0.863985578,0.40895822,0.590219542,0.148752328,0.850976116,0.309873167,0.689855277
20200907,\N,\N,광주광역시,0.142157432,0.856193956,0.40416664,0.594184748,0.157430056,0.842129037,0.297696571,0.701862521
20200907,\N,\N,경상북도,0.165491211,0.833865289,0.404735672,0.594620828,0.179125233,0.820680266,0.333626865,0.666177666
20200907,\N,\N,경상남도,0.155715576,0.843821121,0.4131702,0.586366496,0.168165316,0.831694444,0.323745622,0.676114138
20200907,\N,\N,경기도,0.144406009,0.855578478,0.417413719,0.582570768,0.160121081,0.83987264,0.293332771,0.70666095
20200907,\N,\N,강원도,0.143617477,0.854962413,0.361485723,0.637094167,0.157367543,0.842297392,0.288405932,0.711257438
20200907,\N,\N,\N,0.143689746,0.85559264,0.404244364,0.595037927,0.158167346,0.841622424,0.296117571,0.703672055
20200914,0,\N,\N,0.062760086,0.933212666,0.103217563,0.892757843,0.119702351,0.872134307,0.184643104,0.807193555
20200914,10,\N,\N,0.08825789,0.911631434,0.181885295,0.818004029,0.107505018,0.892346195,0.185050755,0.814799936
20200914,20,\N,\N,0.176543894,0.823354903,0.395262507,0.604636291,0.216970694,0.782978149,0.312060086,0.687888757
20200914,30,\N,\N,0.175213312,0.824740249,0.504905863,0.495047698,0.202213023,0.797761995,0.348424064,0.651550365
20200914,40,\N,\N,0.165256705,0.834721937,0.516720762,0.483257879,0.169478996,0.830503006,0.342606624,0.657375377
20200914,50,\N,\N,0.166095609,0.833875183,0.51093654,0.489034252,0.167433696,0.832548113,0.378023087,0.621958465
20200914,60,\N,\N,0.138063591,0.861892605,0.402105699,0.597850496,0.143595931,0.856368074,0.335205488,0.664758518
20200914,70,\N,\N,0.0879946,0.911852757,0.243815423,0.756031935,0.091185506,0.90865047,0.211577261,0.788259384
20200914,\N,1,\N,0.179024284,0.820830232,0.488000415,0.5118541,0.189337352,0.810457039,0.35614673,0.643647661
20200914,\N,2,\N,0.119580798,0.8803054,0.356373643,0.643512654,0.138543372,0.861272491,0.278482479,0.721333087
20200914,\N,\N,충청북도,0.149863204,0.849915451,0.41644399,0.583334665,0.174001162,0.825726054,0.334381403,0.665345813
20200914,\N,\N,충청남도,0.161027095,0.838862201,0.430839346,0.569049949,0.186155008,0.813605727,0.346264609,0.653496126
20200914,\N,\N,제주특별자치도,0.167879823,0.830399043,0.423041845,0.575237021,0.185170577,0.813394433,0.374586355,0.623982926
20200914,\N,\N,전라북도,0.158869006,0.840909064,0.423536485,0.576241585,0.174288663,0.825329992,0.339648438,0.659970217
20200914,\N,\N,전라남도,0.166030235,0.833755289,0.416996293,0.582789231,0.188622046,0.81117427,0.350267176,0.649526442
20200914,\N,\N,인천광역시,0.152479362,0.847434503,0.43151792,0.568395945,0.160346189,0.839462698,0.304049746,0.695759141
20200914,\N,\N,울산광역시,0.166651174,0.832876202,0.43171419,0.567815277,0.180107014,0.81923424,0.345744892,0.653596362
20200914,\N,\N,세종특별자치시,0.168386542,0.8287829,0.441986787,0.555182655,0.188415093,0.808129518,0.340833782,0.655703301
20200914,\N,\N,서울특별시,0.132863288,0.867113965,0.409242336,0.590734917,0.144797286,0.855153388,0.280027474,0.71992296
20200914,\N,\N,부산광역시,0.149787414,0.850081988,0.414682753,0.585186649,0.160800699,0.838962943,0.313757726,0.686006717
20200914,\N,\N,대전광역시,0.141095295,0.858610639,0.415358176,0.584347758,0.16382664,0.835506056,0.321788791,0.677543905
20200914,\N,\N,대구광역시,0.137646311,0.862259863,0.427105223,0.572800951,0.154476563,0.845260914,0.336206987,0.66353049
20200914,\N,\N,광주광역시,0.148784937,0.850948028,0.429489086,0.570243879,0.164858395,0.834762638,0.333936314,0.66568472
